what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757502576
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.class",1587757502584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757505478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757519889
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1587757523241
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1587757534357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757541186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757551602
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.class",1587757551610
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1587757555758
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1587757581477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757587823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757600236
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.class",1587757600247
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1587757608811
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1587757611269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757620741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757633310
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.class",1587757633320
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1587757645162
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1587757678346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757685985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757693138
