what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.common.frameworks,1.1.501.v201201190400,"org.eclipse.jst.common.frameworks",1587654939351
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.200.v201008182133,"org.eclipse.jst.common.project.facet.ui",1587654939409
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1587654939454
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1587655014390
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1587655014430
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1587655014433
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1587655015051
started,bundle,org.eclipse.jst.jee.ui,1.0.401.v201202011107,"org.eclipse.jst.jee.ui",1587655015099
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1587655015138
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1587655015139
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1587655015141
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1587655015450
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1587655015479
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1587655015514
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1587655015529
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1587655015578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587655015581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1587655015601
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1587655015621
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1587655015759
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1587655015762
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1587655015798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587655017734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587655023621
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1587655028485
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1587655028506
started,bundle,org.eclipse.jpt.common.ui,1.0.1.v201201260000,"org.eclipse.jpt.common.ui",1587655028719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587655040052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587655042410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587655047550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587655057004
started,bundle,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets",1587655058952
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1587655058969
started,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1587655058988
opened,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1587655059171
activated,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1587655059198
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1587655060471
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1587655076168
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1587655078681
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1587655078681
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1587655078693
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1587655078693
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1587655078815
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1587655078818
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1587655087055
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1587655087137
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1587655087173
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1587655088618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587655093549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587655103194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1587655103204
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1587655104171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587655113406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587655129376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587655130656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656194573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656196731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656203951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656206593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656208900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656215484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656220037
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1587656230608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656257413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656286829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1587656286838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656291342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656294412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656300949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656311482
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1587656311663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656322514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656360130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656386214
started,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1587656407144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1587656431463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656432892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1587656432900
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1587656433045
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1587656433093
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1587656433133
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1587656433224
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1587656433557
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1587656433689
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1587656434158
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1587656434281
opened,editor,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1587656434611
activated,editor,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1587656434768
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1587656435713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656450871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656456472
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1587656456513
activated,editor,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1587656458981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656463972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656464033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656472861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656488145
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1587656489423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1587656490104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1587656498414
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1587656508151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1587656512663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656518351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656580597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656623840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656633273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656690471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656704331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656724101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656759606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587656828798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587657028715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1587657033459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587657041198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587657091551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587657104147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587657210419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587657210760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587657210876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587657233417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1587657327885
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1587657357285
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1587657357345
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1587657357496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587657357529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1587657357553
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1587657357699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587657373403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587658275667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587658278311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587659540414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587659553089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587659751967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587659754682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587659757255
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587659757461
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1587659757729
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1587659757729
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1587659757729
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1587659757729
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1587659757729
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1587659757730
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1587659757730
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1587659757731
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1587659757731
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1587659757731
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1587659757731
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1587659757731
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1587659757731
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1587659757731
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1587659757731
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1587659757732
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1587659757732
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1587659757732
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1587659757732
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1587659757732
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1587659757732
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1587659757732
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1587659757732
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1587659757732
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1587659757732
stopped,bundle,org.eclipse.wst.wsi,1.0.401.v201104071820,"org.eclipse.wst.wsi",1587659757732
stopped,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1587659757732
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1587659757733
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1587659757733
stopped,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1587659757733
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.0.0.v201104110000,"org.eclipse.jpt.dbws.eclipselink.ui",1587659757733
stopped,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1587659757733
stopped,bundle,org.eclipse.jst.ws.jaxws.core,1.0.100.v201104031139,"org.eclipse.jst.ws.jaxws.core",1587659757733
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1587659757734
stopped,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1587659757734
stopped,bundle,org.eclipse.mylyn.commons.xmlrpc,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.xmlrpc",1587659757734
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.3.v201112061438,"org.eclipse.datatools.enablement.oda.ws.ui",1587659757734
stopped,bundle,org.eclipse.datatools.enablement.oda.ws,1.2.3.v201112061438,"org.eclipse.datatools.enablement.oda.ws",1587659757734
stopped,bundle,org.eclipse.wst.wsdl,1.2.202.v201108230355,"org.eclipse.wst.wsdl",1587659757734
