['arrival', 'Time'],['arrival', 'time'],7
['arrival', 'Time'],['departure', 'time'],3
['destination', 'Zone'],['routes'],2
['destination', 'Zone'],['zone', 'id'],4
['destination', 'Zone'],['destination', 'id'],6
['destination', 'Zone'],['location', 'type'],2
['start', 'Time'],['stop', 'time'],1
['start', 'Time'],['start', 'date'],4
['long', 'Name'],['route', 'long', 'name'],2
['long', 'Name'],['agency', 'name'],1
['long', 'Name'],['stop', 'name'],1
['long', 'Name'],['route', 'short', 'name'],1
['long', 'Name'],['trip', 'short', 'name'],1
['long', 'Name'],['agency', 'id'],2
['long', 'Name'],['stop', 'id'],2
['long', 'Name'],['service', 'id'],3
['long', 'Name'],['direction', 'id'],1
['long', 'Name'],['block', 'id'],1
['long', 'Name'],['shape', 'id'],2
['long', 'Name'],['origin', 'id'],1
['long', 'Name'],['contains', 'id'],1
['Transfers', 'Allowed', 'Type'],['transfers'],5
['Transfers', 'Allowed', 'Type'],['transfer', 'duration'],1
['Transfers', 'Allowed', 'Type'],['stops'],1
['One', 'Transfers', 'Allowed'],['transfers'],5
['One', 'Transfers', 'Allowed'],['transfer', 'duration'],1
['One', 'Transfers', 'Allowed'],['stops'],1
['monday'],['monday'],16
['monday'],['tuesday'],16
['monday'],['wednesday'],16
['monday'],['thursday'],16
['monday'],['friday'],16
['monday'],['saturday'],16
['monday'],['sunday'],16
['Calendar', 'Date', 'Rule'],['calendar'],17
['Calendar', 'Date', 'Rule'],['fare', 'rule'],1
['Station'],['parent', 'station'],15
['thursday'],['monday'],16
['thursday'],['tuesday'],16
['thursday'],['wednesday'],16
['thursday'],['thursday'],16
['thursday'],['friday'],16
['thursday'],['saturday'],16
['thursday'],['sunday'],16
['pickup', 'Type'],['pickup', 'type'],8
['Before', 'Boarding'],['wheelchair', 'boarding'],4
['minimum', 'Transfer', 'Time'],['transfers'],4
['minimum', 'Transfer', 'Time'],['transfer', 'duration'],1
['route', 'Type'],['routes'],10
['route', 'Type'],['route'],92
['route', 'Type'],['destination', 'id'],1
['trip'],['trips'],16
['trip'],['trip'],51
['trip'],['shape', 'dist', 'traveled'],4
['code'],['stop', 'code'],11
['code'],['fare', 'rules'],1
['Route'],['routes'],2
['Route'],['route'],8
['wednesday'],['monday'],16
['wednesday'],['tuesday'],16
['wednesday'],['wednesday'],16
['wednesday'],['thursday'],16
['wednesday'],['friday'],16
['wednesday'],['saturday'],16
['wednesday'],['sunday'],16
['stop', 'Sequence'],['stops'],5
['stop', 'Sequence'],['stop'],64
['Calendar', 'Rule'],['calendar'],16
['Calendar', 'Rule'],['fare', 'rule'],1
['Calendar', 'Rule'],['fare', 'rules'],1
['Ensured', 'Transfer'],['transfers'],9
['Ensured', 'Transfer'],['transfer', 'duration'],2
['Not', 'Wheelchair', 'Accessible'],['wheelchair', 'accessible'],6
['Not', 'Wheelchair', 'Accessible'],['wheelchair', 'boarding'],3
['agency'],['agencies'],9
['agency'],['agency'],52
['drop', 'Off', 'Type'],['drop', 'off', 'type'],5
['wheelchair', 'Accessible'],['wheelchair', 'boarding'],9
['wheelchair', 'Accessible'],['wheelchair', 'accessible'],11
['wheelchair', 'Accessible'],['bikes', 'allowed'],3
['Wheelchair', 'Accessible'],['wheelchair', 'boarding'],5
['Wheelchair', 'Accessible'],['wheelchair', 'accessible'],8
['Service'],['service'],16
['Unlimited', 'Transfers', 'Allowed'],['transfers'],5
['Unlimited', 'Transfers', 'Allowed'],['transfer', 'duration'],1
['end', 'Time'],['end', 'date'],4
['destination', 'Stop'],['stops'],5
['destination', 'Stop'],['stop'],63
['destination', 'Stop'],['routes'],2
['destination', 'Stop'],['destination', 'id'],6
['destination', 'Stop'],['location', 'type'],2
['Recommended', 'Transfer'],['transfers'],4
['Recommended', 'Transfer'],['transfer', 'duration'],1
['shape'],['shape'],58
['shape'],['shapes'],4
['Fare', 'Class'],['fare', 'attributes'],2
['Fare', 'Class'],['fare', 'attribute'],2
['Fare', 'Class'],['fare', 'rules'],2
['Fare', 'Class'],['fare', 'rule'],2
['Fare', 'Class'],['agency', 'fare', 'url'],1
['Fare', 'Class'],['fare', 'id'],4
['Fare', 'Class'],['agency', 'id'],2
['Fare', 'Class'],['stop', 'id'],2
['Fare', 'Class'],['service', 'id'],3
['Fare', 'Class'],['direction', 'id'],1
['Fare', 'Class'],['block', 'id'],1
['Fare', 'Class'],['shape', 'id'],2
['Fare', 'Class'],['origin', 'id'],1
['Fare', 'Class'],['contains', 'id'],1
['Drop', 'Off', 'Type'],['drop', 'off', 'type'],1
['time', 'Zone'],['zone', 'id'],8
['sunday'],['monday'],16
['sunday'],['tuesday'],16
['sunday'],['wednesday'],16
['sunday'],['thursday'],16
['sunday'],['friday'],16
['sunday'],['saturday'],16
